blockNumber,answer,totalSupply,diff
22706625,2704279781062334201625962,2763740806408189485832138,-59461025345855284206176
22708450,2721935328818340127541736,2763555668846875200093778,-41620340028535072552042
22710275,2721935328818340127541736,2763467876905220527376347,-41532548086880399834611
22712100,2721935328818340127541736,2763519828238756340084114,-41584499420416212542378
22713925,2751055549566465208592813,2763491866989587060198366,-12436317423121851605553
22715750,2751055549566465208592813,2763981296961818507510828,-12925747395353298918015
22717575,2751055549566465208592813,2764691336575168432658389,-13635787008703224065576
22719400,2751055549566465208592813,2767054552125153921792554,-15999002558688713199741
22721225,2770184700042677051202502,2778043179065127245049567,-7858479022450193847065
22723050,2770184700042677051202502,2778357403765831034181620,-8172703723153982979118
22724875,2770184700042677051202502,2778333651995438892422530,-8148951952761841220028
22726700,2770184700042677051202502,2778859207083069992973694,-8674507040392941771192
22728525,2766776479358821354512604,2778889925314227324587867,-12113445955405970075263
22730350,2766776479358821354512604,2781752124629737124182345,-14975645270915769669741
22732175,2766776479358821354512604,2781753953274486970395566,-14977473915665615882962
22734000,2766776479358821354512604,2782919233277602269355315,-16142753918780914842711
22735825,2774322802686867036695828,2782992592672145635251352,-8669789985278598555524
22737650,2774322802686867036695828,2781538357731936635338301,-7215555045069598642473
22739475,2774322802686867036695828,2782865442874211150607445,-8542640187344113911617
22741300,2774322802686867036695828,2778763686947211385969358,-4440884260344349273530
22743125,2768844351448619663959288,2778953322153997562924007,-10108970705377898964719
22744950,2768844351448619663959288,2780555231372034546897648,-11710879923414882938360
22746775,2768844351448619663959288,2774643190141357389935744,-5798838692737725976456
22748600,2768844351448619663959288,2775674336580186360615222,-6829985131566696655934
22750425,2765503911039052044006209,2775738500197674009482820,-10234589158621965476611
22752250,2765503911039052044006209,2775826026307469535716198,-10322115268417491709989
22754075,2765503911039052044006209,2775895728488849565381490,-10391817449797521375281
22755900,2765503911039052044006209,2774674371689193905276966,-9170460650141861270757
22757725,2764604615164843579185877,2769485742279589009903743,-4881127114745430717866
22759550,2764604615164843579185877,2764852672159282945507840,-248056994439366321963
22761375,2764604615164843579185877,2764936092665253647993628,-331477500410068807751
22763200,2764604615164843579185877,2765026651364966332168930,-422036200122752983053
22765025,2755249590156590876961465,2764799658404439276455090,-9550068247848399493625
22766850,2755249590156590876961465,2764357702609528223476455,-9108112452937346514990
22768675,2755249590156590876961465,2763360726589853022099564,-8111136433262145138099
22770500,2755249590156590876961465,2765261481502924287937473,-10011891346333410976008
22772325,2755539595107510814729631,2765406930763297574826688,-9867335655786760097057
22774150,2755539595107510814729631,2763366927883591497303061,-7827332776080682573430
22775975,2755539595107510814729631,2760275164878545701376000,-4735569771034886646369
22777800,2755539595107510814729631,2760337910361533779657075,-4798315254022964927444
22779625,2758710854637003399068404,2760555358156439468915960,-1844503519436069847556
22781450,2758710854637003399068404,2760063682694387457923464,-1352828057384058855060
22783275,2758710854637003399068404,2760054407775452325334949,-1343553138448926266545
22785100,2758710854637003399068404,2761665670088100493267897,-2954815451097094199493
22786925,2761388830039424271164967,2761767126539065696433751,-378296499641425268784
22788750,2761388830039424271164967,2757604417127458597430796,3784412911965673734171
22790575,2761388830039424271164967,2757367286626309383654278,4021543413114887510689
22792400,2761388830039424271164967,2761469681119336736814486,-80851079912465649519
22794225,2761178393942643729161799,2756314198734365415046137,4864195208278314115662
22796050,2761178393942643729161799,2756427344036619673990748,4751049906024055171051
22797875,2761178393942643729161799,2757054469009510137764455,4123924933133591397344
22799700,2756829087144454709459153,2757145183718077148874677,-316096573622439415524
22801525,2756829087144454709459153,2757144501733289928326002,-315414588835218866849
22803350,2756829087144454709459153,2757259456006317949917592,-430368861863240458439
22805175,2756829087144454709459153,2754312787344735775161820,2516299799718934297333
22807000,2755377793941024722723646,2755993482938173963025376,-615688997149240301730
22808825,2755377793941024722723646,2756481712625339869676488,-1103918684315146952842
22810650,2755377793941024722723646,2749700553701617552179973,5677240239407170543673
22812475,2755377793941024722723646,2752455512021415848769935,2922281919608873953711
22814300,2752181164568185459771610,2752521730909417325531790,-340566341231865760180
22816125,2752181164568185459771610,2745406619720118302156548,6774544848067157615062
22817950,2752181164568185459771610,2750424874053448216345765,1756290514737243425845
22819775,2752181164568185459771610,2751841197787854239398168,339966780331220373442
22821600,2751790239975725310527623,2751891185032394934161741,-100945056669623634118
22823425,2751790239975725310527623,2752107676136266673147292,-317436160541362619669
22825250,2751790239975725310527623,2752584388757843064803753,-794148782117754276130
22827075,2751790239975725310527623,2752774741859378543216804,-984501883653232689181
22828900,2752996855252936541403138,2747626507016504116220500,5370348236432425182638
22830725,2752996855252936541403138,2747846123105106781014926,5150732147829760388212
22832550,2752996855252936541403138,2746907667752976436675174,6089187499960104727964
22834375,2752996855252936541403138,2746939450006579598762604,6057405246356942640534
22836200,2747009179337858099593625,2747071693179007214073685,-62513841149114480060
22838025,2747009179337858099593625,2748655432305529566811797,-1646252967671467218172
22839850,2747009179337858099593625,2748984166521309270137625,-1974987183451170544000
22841675,2747009179337858099593625,2749576956936316234576826,-2567777598458134983201
22843500,2749616067622916868821201,2748313364107501876447263,1302703515414992373938
22845325,2845502651585929357947107,2847123277788959162782154,-1620626203029804835047
22847150,2845502651585929357947107,2845914203113529509987061,-411551527600152039954
22848975,2845502651585929357947107,2840551383326142413936659,4951268259786944010448
22850800,2845502651585929357947107,2841679744227026763983257,3822907358902593963850
22852625,2841655824806877333385279,2841655886253766230545073,-61446888897159794
22854450,2841655824806877333385279,2841742933334328330099875,-87108527450996714596
22856275,2841655824806877333385279,2841825833365718128774322,-170008558840795389043
22858100,2784042729012510173209197,2841928972737363703741443,-57886243724853530532246
22859925,2784042729012510173209197,2841584845815282762163563,-57542116802772588954366
22861750,2784042729012510173209197,2841723080009669117713291,-57680350997158944504094
22863575,2784042729012510173209197,2842457738104008690365706,-58415009091498517156509
22865400,2779400825316903436552465,2837321586241119985733258,-57920760924216549180793
22867225,2779400825316903436552465,2833731864267057444311010,-54331038950154007758545
22869050,2779400825316903436552465,2833157565982853831828295,-53756740665950395275830
22870875,2779400825316903436552465,2833181265600686539623688,-53780440283783103071223
22872700,2816359319958479944391561,2831518421247913058932199,-15159101289433114540638
22874525,2816359319958479944391561,2831467429291226112284432,-15108109332746167892871
22876350,2816359319958479944391561,2831951378651029363816947,-15592058692549419425386
22878175,2816359319958479944391561,2832145441503737228691377,-15786121545257284299816
22880000,2819577871739290426470694,2834981464097554495321587,-15403592358264068850893
